month,year,project,sum_passengers,avg_passenger_per_day,avg_passenger_normal_day,avg_passenger_holiday
1,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 611,029 "," 21,822 "," 25,410 "," 14,248 "
2,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 719,225 "," 23,201 "," 25,447 "," 16,741 "
3,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 631,343 "," 21,045 "," 25,678 "," 15,750 "
4,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 748,456 "," 24,144 "," 28,127 "," 16,901 "
5,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 817,301 "," 27,243 "," 30,217 "," 19,066 "
6,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 823,504 "," 26,565 "," 31,501 "," 18,749 "
7,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,331,334 "," 42,946 "," 47,655 "," 31,436 "
8,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,407,258 "," 46,909 "," 52,322 "," 34,278 "
9,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,376,904 "," 45,897 "," 53,861 "," 32,140 "
10,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,395,555 "," 46,519 "," 52,042 "," 31,330 "
11,2560,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,249,626 "," 40,311 "," 48,421 "," 27,470 "
0,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,325,182 "," 42,748 "," 50,011 "," 27,495 "
1,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,266,376 "," 45,228 "," 51,381 "," 29,846 "
2,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,395,112 "," 45,004 "," 51,731 "," 30,877 "
3,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,224,975 "," 40,833 "," 51,597 "," 26,756 "
4,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,396,565 "," 45,050 "," 53,101 "," 30,412 "
5,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,498,926 "," 49,964 "," 57,088 "," 33,341 "
6,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,507,014 "," 48,613 "," 58,741 "," 30,199 "
7,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,680,922 "," 54,223 "," 62,892 "," 33,034 "
8,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,603,576 "," 53,453 "," 62,352 "," 35,653 "
9,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,590,420 "," 51,304 "," 60,299 "," 32,414 "
10,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,652,091 "," 55,070 "," 62,003 "," 36,004 "
11,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,483,635 "," 47,859 "," 58,140 "," 33,624 "
0,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,591,763 "," 51,347 "," 59,159 "," 32,252 "
1,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,443,333 "," 51,548 "," 60,349 "," 32,967 "
2,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,664,735 "," 53,701 "," 61,262 "," 37,284 "
3,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,458,908 "," 48,630 "," 61,016 "," 30,052 "
4,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,530,913 "," 52,790 "," 62,586 "," 34,177 "
5,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,675,410 "," 55,847 "," 67,272 "," 36,112 "
6,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,745,717 "," 56,313 "," 67,705 "," 35,601 "
7,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,809,166 "," 58,360 "," 68,989 "," 36,039 "
8,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,743,133 "," 58,104 "," 67,377 "," 36,468 "
9,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,729,692 "," 55,797 "," 65,407 "," 35,614 "
10,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,755,398 "," 58,513 "," 67,547 "," 42,910 "
11,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,574,699 "," 52,490 "," 65,266 "," 35,783 "
0,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,827,785 "," 58,961 "," 67,781 "," 37,401 "
1,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,664,132 "," 57,384 "," 68,406 "," 36,442 "
2,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,227,632 "," 39,601 "," 47,436 "," 20,450 "
3,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 439,198 "," 14,640 "," 18,001 "," 6,797 "
4,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 674,483 "," 21,758 "," 28,009 "," 14,167 "
5,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,094,334 "," 36,478 "," 41,688 "," 24,320 "
6,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,442,882 "," 46,545 "," 57,069 "," 29,882 "
7,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,643,622 "," 53,020 "," 63,799 "," 33,422 "
8,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,754,362 "," 58,479 "," 70,104 "," 35,228 "
9,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,759,392 "," 56,755 "," 69,885 "," 32,882 "
10,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,745,557 "," 58,185 "," 68,739 "," 39,956 "
11,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,563,252 "," 50,427 "," 60,659 "," 31,825 "
0,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 874,003 "," 28,194 "," 34,487 "," 16,750 "
1,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,081,904 "," 38,639 "," 45,915 "," 25,543 "
2,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,519,467 "," 49,015 "," 55,731 "," 29,707 "
3,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 793,625 "," 26,454 "," 34,035 "," 16,541 "
4,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 521,799 "," 16,832 "," 21,761 "," 10,848 "
5,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 677,959 "," 22,599 "," 26,239 "," 14,104 "
6,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 466,159 "," 15,037 "," 18,583 "," 8,590 "
7,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 379,297 "," 12,235 "," 14,893 "," 6,655 "
8,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 571,916 "," 19,064 "," 21,269 "," 13,918 "
9,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 786,150 "," 25,360 "," 29,789 "," 19,227 "
10,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม," 1,029,934 "," 34,331 "," 38,315 "," 23,376 "
